2024-10-29 12:27:52,132 INFO:-----------------------------------------------------------------
2024-10-29 12:29:12,560 INFO:-----------------------------------------------------------------
2024-10-29 12:29:13,396 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:13,396 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:19,835 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:19,835 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:20,804 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:20,804 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:21,457 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:21,457 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:31,978 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:31,978 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:42,510 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:42,510 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:46,044 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:46,044 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:46,589 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:46,589 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:47,028 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:47,028 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:47,109 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:47,109 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:53,497 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:53,497 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:54,446 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:54,446 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:55,006 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:55,006 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:55,599 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:55,599 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:29:56,191 DEBUG:Keysight Technologies, N1914A, one channel
